correlation,category
0.9953664324,recent
0.9936626727,recent
0.9727150083,recent
0.9833636366,recent
0.9927324927,recent
0.9852015635,recent
0.9350643964,recent
0.9760494876,recent
0.9655788565,recent
0.9513121305,recent
0.9883363824,recent
0.897631485,one month
0.9101197547,one month
0.09760226716,one month
0.9536048504,one month
0.9246124078,one month
0.9604932424,one month
0.9266564369,one month
0.8107608905,one month
0.5684841248,one month
0.8553431423,one month
0.9427004925,one month
0.7833904991,three months
0.9857828865,three months
0.7718591434,three months
0.9437315649,three months
0.8787910294,three months
0.9942002142,three months
0.9132779624,three months
0.1217145076,three months
0.6716699114,three months
0.9650017939,three months
0.9131770742,three months
0.9025270182,one years
0.982764454,one years
-0.3743043227,one years
0.970638457,one years
0.9621654135,one years
0.9928068495,one years
0.9129885346,one years
0.7809129988,one years
0.8844793357,one years
0.9329415326,one years
0.9318857182,one years
0.9305106648,five years
0.9379245573,five years
0.2156930818,five years
0.9395215327,five years
0.9821769116,five years
0.9948351055,five years
0.8996771609,five years
0.8783315067,five years
0.9267993039,five years
0.9715019846,five years
0.9876967544,five years